,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
69,11265,724,3047,10778,354,9752,13210,10298,6252,828,3213,8078,12380,8397,10155
70,9497,1342,9099,10324,10741,6044,5790,7151,280,9482,1608,12559,6505,3236,12908
71,13006,6138,11549,2851,8482,6452,11456,137,1867,8244,7650,2203,2681,162,10619
72,9206,117,6670,900,9087,3226,6286,6749,9880,4890,10429,4367,7206,9456,7194
73,8035,9688,609,8127,4626,3062,72,1614,7812,11510,11108,385,5951,12960,4734
74,1329,603,10475,3257,7868,1654,13275,4042,10212,6267,10342,1143,6238,7198,11350
75,9087,12843,7206,6412,6749,10219,2658,2701,4223,2559,12618,3978,11001,12666,8756
76,11697,11569,4958,12220,6460,3630,9071,2467,11725,1639,9520,1625,3320,877,4673
77,12668,1361,1853,4865,10837,6228,3183,331,5944,9889,1358,4450,1359,4981,1861
78,484,6237,742,10556,2,12747,11179,2286,4454,4902,12967,3686,5323,8503,9409
79,9212,8842,2565,746,976,1228,3825,10901,7227,12925,2656,6339,5684,5452,4190
80,2057,8293,11263,845,6989,2230,751,12396,9562,3246,6533,7082,8282,13146,12073
81,3451,11595,1608,10574,4368,5602,10005,707,354,11420,7877,10778,8280,4544,107
82,8803,7362,965,6157,4778,7293,5929,8671,6790,10881,7770,7912,12966,7315,13068
83,8472,8079,8659,769,11544,6397,7681,6196,5957,5773,10296,3540,3494,6403,4236
84,6676,13542,7071,11901,7210,9179,2317,6746,7316,3896,489,2651,10658,12637,12728
85,12398,2892,2835,7388,9693,6601,12160,4652,11908,5174,6829,11501,10952,4430,8718
86,10694,1290,7303,8537,7448,8886,11662,7861,11908,8621,6222,10941,9495,6830,11316
87,12847,809,5408,8489,6563,8192,2969,10884,11977,1010,7525,9137,1645,10401,6239
88,6655,11986,1564,2802,728,8317,1117,5673,5927,9371,13500,12509,1102,1377,12373
89,12960,440,3964,4123,5329,6933,126,6884,104,1664,7127,10151,314,802,7129
90,7077,3422,8654,5920,11119,1020,11284,4941,9461,3796,6334,11748,10674,4394,1342
91,122,6528,1952,3404,5707,5861,8535,17,2931,4186,10742,4242,11226,12045,1706
92,5734,6533,845,976,11888,6381,7894,12073,80,12820,7203,10725,3297,11890,11303
93,5185,4899,6488,9287,12362,1548,12515,12195,9887,4577,10617,11110,5849,8726,3031
94,7491,1785,3090,9309,7873,7725,7398,9393,6352,11514,4154,1677,8479,2603,12695
95,12619,1408,13534,8681,12502,12365,7272,7345,7765,8606,8706,9538,13359,9177,3427
96,3474,3446,6486,51,8909,11917,9809,3024,7182,4999,12439,13,1244,6487,7114
97,4203,6670,2842,299,46,504,9768,8260,2074,12507,13543,11618,9956,2650,6177
98,5986,6044,4438,9482,2954,2545,2084,12145,11860,9954,3346,10228,11767,9981,369
99,11108,2842,875,12121,10430,4626,7264,7877,8735,7435,8035,10436,3062,10005,4418
100,7316,6338,2543,3554,6676,84,10160,2651,12518,7096,2383,968,8261,891,4573
101,6476,2420,11337,2421,7733,2627,7471,1702,210,6105,3060,2410,8055,12564,1941
102,716,11288,9233,705,9889,4865,8999,5514,8284,7075,6390,11983,5314,12668,5323
103,12815,6380,13072,3804,12873,6345,2937,10998,2881,946,6096,7082,3702,12396,504
104,5716,5808,11237,1786,6415,891,12734,12258,7497,1950,11854,9469,1380,2964,3527
105,3062,7408,2116,5373,6835,6832,4079,5173,5162,6149,99,6887,1212,8061,3444
106,5222,4028,3002,5011,6924,10896,5411,3001,5010,7015,5134,8014,2795,7016,11010
107,3977,3690,881,12427,2453,10006,12694,10005,1183,5811,9977,8656,3411,794,1243
108,11824,4440,9960,10164,9406,11934,7811,6821,9359,7298,10158,10805,6827,4869,4928
109,12843,6660,6975,2579,10324,10153,75,4018,11807,185,6412,10005,3791,7206,12999
110,8555,6869,1806,12639,10697,11319,7653,11225,1375,10657,6873,3272,12130,5366,4850
