,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
69,9693,2890,12298,11847,1475,7142,12442,2899,7657,9709,12359,11342,4051,5956,5063
70,11962,10259,11785,725,5357,11661,5554,102,8502,6281,7384,5316,10331,5803,6532
71,420,6471,1488,2860,827,7867,8500,9591,11362,3950,4326,3412,1885,3485,503
72,9234,11787,6742,4118,2908,10107,11035,10122,11048,1645,4119,1682,6619,4227,1673
73,9955,10429,465,3288,698,1825,3744,7969,8181,7855,1572,8651,9185,4457,8643
74,8612,4293,6756,10155,6223,8277,10534,9447,1151,3359,12079,12455,3153,10701,5971
75,5533,1406,12254,5109,2387,10010,520,8632,11898,8069,5563,3832,9934,10506,8497
76,8084,4181,3424,10139,1743,4366,3393,7888,666,4364,2970,9320,2535,9272,10377
77,4577,6642,11398,11197,871,1365,9935,6635,3010,5414,5712,10446,592,756,5711
78,263,5181,5340,6612,5004,5976,7773,7527,3218,2291,7769,663,528,6770,9090
79,12626,470,6755,9912,12011,11845,5692,11760,5052,1923,10547,11632,8002,9908,4195
80,10572,8766,1531,4515,4829,1677,4254,9305,754,2890,11680,11118,1242,10044,4720
81,9971,10479,4196,7355,6834,10881,2695,2579,4425,11890,2981,11221,10553,5362,10559
82,4784,11154,11965,10153,1517,9787,5572,5096,7018,11224,12623,1422,88,7561,8540
83,1983,5602,10027,9525,1980,5223,6232,7932,3324,3147,10223,11235,3128,1467,11032
84,575,250,5166,10449,2154,9178,9421,1388,4552,8721,6665,741,10921,8847,5165
85,10018,10655,3618,6526,4011,11864,9246,287,5653,117,449,3533,1765,8349,1142
86,1494,1038,11996,4237,2138,11087,6263,5942,1963,811,5202,8103,438,9229,1610
87,7365,9232,4877,6829,12523,2678,7691,6273,10484,10366,8859,4,9465,924,5620
88,7018,7332,277,1603,2375,7768,1604,11394,1517,8249,2024,12499,4759,1774,7020
89,11742,6875,4590,1204,6726,3507,12206,6461,12015,11733,855,3576,9089,7010,3463
90,7764,5096,12623,4632,3109,6047,2863,2125,11576,11470,9040,11111,4867,6073,10004
91,285,12627,8662,3116,399,11620,12471,11641,10203,6283,8404,7097,1609,7763,6038
92,10590,9692,4054,10385,7328,157,1494,11871,2333,3826,11299,5942,101,4972,7428
93,6626,8892,6748,3847,270,8086,9634,5270,4189,231,97,370,3536,382,11660
94,9488,6847,3933,4759,11394,6483,12499,8991,7332,2375,11684,7768,6819,1774,2312
95,145,1955,5527,2201,2191,6899,3286,9316,2192,7494,2210,7549,2209,5104,2200
96,5560,2057,10532,674,9495,8450,7399,2257,11480,11195,5980,11983,4927,8802,9587
97,11541,8930,2800,10568,5820,9384,10560,8117,8214,7669,6473,8440,6609,7756,7243
98,1604,11050,5397,1763,6006,5612,841,5311,1275,11995,2375,4759,2024,1762,10199
99,2250,1867,4632,3083,6316,11505,8783,6824,9949,8782,6073,11107,7883,2260,150
100,9322,8527,11811,3442,795,12013,1166,8110,5400,7158,707,1859,3092,11125,3410
101,7328,895,8404,3463,4568,12359,157,9110,2333,1541,8853,1780,11792,1494,8235
102,11785,11962,3312,5554,11592,5357,2755,6892,6532,70,4768,10050,12156,2613,2467
103,4973,3000,2573,2771,9975,5183,10905,11505,11099,1376,7131,11118,6405,4494,7156
104,6622,12457,4298,215,11964,2064,8576,12114,1200,5093,10258,5295,4930,10043,8883
105,11394,5612,7944,3829,7332,646,7229,4759,8703,9350,5945,3275,6929,11812,499
106,3051,7181,3089,4126,9835,6968,2654,2463,3248,3277,8004,7259,10647,1803,11682
107,8184,9267,11863,12078,1673,9836,5122,3735,3292,2521,3274,5522,11048,5550,2113
108,9142,4559,7199,603,7406,7200,6561,2683,2991,4850,7914,6560,9215,604,9111
109,5455,5578,5579,5580,644,2547,7956,4473,1140,5577,53,3797,7823,11771,11203
110,2705,9908,7524,9400,7047,12068,7427,816,5589,5667,8676,11676,5393,11081,2682
111,7724,7371,6524,11481,1717,1414,7348,2966,3456,11319,3728,8131,5019,3147,9485
112,3010,1369,4577,871,10255,6635,5595,493,5712,9935,11197,592,6575,6642,11437
113,7952,7335,6847,10199,10201,9465,9966,4661,2024,2704,12468,7020,8249,7401,5849
114,5495,10124,5865,11857,7824,8292,8579,2068,5429,6377,4389,6733,9330,10989,1802
115,166,873,4275,5040,4889,3960,7372,8304,11159,5178,804,3832,5953,5728,5743
116,9423,1004,4040,3343,9111,7514,4854,4044,11216,1199,2488,2455,1269,3097,9217
117,8349,10510,8537,85,10068,6849,6116,4031,8600,7158,11864,5454,10018,4271,10655
118,11112,9931,373,968,2594,6878,9700,8954,1560,10798,10701,11478,7738,6793,10181
119,10465,7985,5513,9218,10175,6244,1494,10599,11086,10383,1493,12042,1355,11936,11439
120,1273,5246,4950,11708,5865,264,4302,1752,10970,2744,11406,7812,8579,7847,693
121,10623,9585,7624,10553,11600,10881,81,4426,10882,1136,6414,5874,9744,6108,11601
122,7414,6104,11622,9591,8500,9589,7302,401,12497,11379,4336,9769,6213,8270,6830
123,4641,8193,7088,8662,6670,6321,8989,3430,12026,8856,11620,5411,3502,2971,10855
124,9747,2902,10447,257,2939,8317,8254,6509,11690,8578,10076,3036,4873,12127,643
125,8177,10347,536,11042,4910,9927,9775,3415,5119,5526,1657,8460,5534,5109,8291
126,7086,6116,613,10331,10616,10443,11660,9400,3305,8719,3302,2030,2682,10654,816
127,1304,171,4221,3081,10146,3500,4804,2560,1,10770,10020,5594,10804,3274,4650
128,10475,229,11278,5900,3984,8812,7652,4798,626,3650,10535,6564,11802,1130,679
129,2307,8898,6976,1821,6787,9977,1625,8089,11157,11282,2345,1830,12043,6516,2279
130,2380,4847,5899,11149,4493,8653,7044,9494,4227,72,2381,9836,2736,11058,10107
131,7828,4847,1259,5663,1258,3690,11455,3885,1635,1261,4493,9608,1697,4606,3696
132,2333,55,8096,3605,3559,5963,11631,8553,1963,7414,1301,11871,10473,895,3847
133,7843,2916,1368,758,6158,7751,2097,2929,8411,10073,11697,5668,8404,4039,8799
134,1769,11943,9094,2702,4392,10774,4921,8594,7538,3674,7273,9775,10240,4871,6309
135,12037,10484,3089,6515,6060,4025,11682,6289,2255,8232,10105,10647,2766,483,9455
136,466,724,2291,8984,9442,3961,12024,2030,3870,6278,21,11130,7825,4679,10164
137,8334,11935,6746,751,10,6418,3615,8995,11169,8127,851,849,9506,9891,3621
138,556,2343,10630,9776,10692,5119,7409,12254,5533,8655,3832,3831,3406,520,3214
139,605,5061,4043,11473,1999,1691,4922,9217,3414,10932,4836,4611,5547,11216,4117
140,2333,12142,9446,11986,12092,12059,7328,10410,5708,11996,4097,1963,7414,811,6570
141,2899,12377,6068,7414,334,4189,6283,2138,56,11871,9113,4177,8553,11087,3750
142,3712,1475,8892,93,6808,8125,6753,3306,7835,1857,5552,2802,4108,909,5403
143,1795,2037,6692,4579,7525,9151,5677,3287,3741,5985,9955,7119,12327,3748,3315
144,6597,5415,153,2719,4782,2016,2407,147,6638,11075,6576,1463,6608,6575,4727
145,10499,10744,2192,3255,8045,7494,6604,7237,6899,2200,2191,11702,10771,5104,10070
146,152,5109,3904,12625,11711,10717,6232,10691,6477,4995,536,3147,2966,3761,1980
147,2719,6576,6597,1463,144,4782,5415,481,2407,153,6608,6634,2016,1969,6638
148,675,11147,1412,1742,3465,7026,2259,6596,3150,10506,75,3845,5382,11703,2392
149,145,10499,6604,5710,3255,3119,3724,10744,4552,6482,544,5673,10070,3636,9268
150,12469,3083,8782,6420,6609,10560,8009,9123,7512,2224,4201,11163,5820,9384,8214
151,6148,1974,10657,10281,7154,4714,3878,1200,8667,12615,2064,7100,42,11138,11225
152,4995,1472,11042,5109,9419,8460,9941,10691,433,3908,7932,2605,5534,11711,3761
153,5415,2407,6638,6597,144,4782,5711,4727,592,2016,6575,7060,5712,2719,6591
154,9251,362,668,1997,9576,9212,9450,8151,8262,4669,5825,7296,10155,2335,5440
155,5170,2269,1993,8314,6134,8333,6318,3785,9273,4871,4244,11723,8327,9865,5505
156,7715,1375,4723,11708,11794,7773,5979,6770,6552,5988,6232,2966,3147,3148,264
157,2138,2333,5196,8553,8404,1494,2899,7328,9960,11362,5942,7365,11792,7414,12359
158,6324,816,8771,2682,10510,6070,7274,9312,159,8755,5327,10821,8600,336,1096
