,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
69,8795,7750,762,8461,4137,3396,1212,531,4792,3207,1861,7549,5629,12272,8844
70,9336,12506,2853,8599,762,347,6203,3614,6818,1033,12272,10192,3038,7549,1657
71,11339,3980,1011,6180,9068,12730,10726,3039,8270,2498,8008,5909,3827,5637,10289
72,7624,8763,2576,3248,10612,12175,10768,1491,2929,3768,9025,6226,9509,9909,6567
73,420,771,10740,2380,9285,1166,4881,6396,2665,4798,10956,7905,9807,3698,5769
74,6968,10447,9529,3070,11421,12210,1801,3912,318,6691,3060,1798,5775,4421,4314
75,9762,5385,2627,11241,10407,1683,8633,8165,9658,3444,3934,5336,4536,6448,2793
76,8534,1196,4112,3302,4494,10451,8877,4437,4211,3519,12806,10698,7752,9744,5252
77,12685,1492,8016,6366,10845,11070,11093,985,3423,8667,5557,807,6207,8713,438
78,10191,1221,3300,8323,10832,4122,2427,5138,8754,939,12074,4303,11991,11774,9799
79,12127,9821,11799,5186,2222,421,4335,7819,1815,10337,5149,11503,192,8494,5179
80,3477,5227,1332,6092,264,8879,8428,8086,6094,8557,8694,421,9711,11646,2546
81,13075,477,8308,12096,4390,10270,9279,12178,1495,2558,2294,9290,4365,9787,4579
82,10934,9036,4717,3186,4640,1757,7490,8321,6102,4319,880,1638,8889,3224,6199
83,10304,12316,2840,2724,10842,3798,7209,7400,12706,7593,1254,11622,4854,9887,8318
84,12393,5012,11539,4447,13071,1465,3258,10495,8086,5320,4064,1671,11454,8159,3295
85,808,4471,4578,5819,10107,534,3852,9234,655,10405,9920,1846,8474,2146,6459
86,9628,11822,4457,9557,11238,2269,9489,601,784,168,2716,4439,2906,9194,4792
87,2780,8734,11484,7626,6806,8136,3911,3053,3072,3969,10809,10490,6449,99,1214
88,3802,119,5685,8605,8014,4459,6337,9565,10751,12290,1884,7394,1836,10550,10871
89,8856,12808,9791,11629,12990,3846,7905,4721,12626,6293,6122,5417,12499,4093,9133
90,7605,9791,6742,4742,92,3626,11824,7063,10070,8067,89,3846,3460,5839,1351
91,7250,11867,1614,10001,12259,5100,1994,13071,9683,6704,11468,8504,7252,2735,9467
92,12160,3676,11121,11916,7108,4795,6952,4070,1357,9232,10691,6694,1262,1971,10084
93,6299,5320,6272,13071,11985,7501,6704,7999,11495,844,3258,8800,9634,770,3010
94,8113,5415,4051,11506,937,1641,301,10344,10035,1419,10430,842,10133,8452,6935
95,8927,493,12053,12583,8048,3265,12905,10711,4800,6472,2736,878,2451,12551,1045
96,7458,106,6840,161,3508,10745,5308,364,2164,90,6274,4079,1900,2296,2207
97,3263,7922,4384,856,1217,3314,7125,13073,5053,5138,2757,2283,4620,9846,6159
98,7081,6339,4546,9787,12313,2558,8510,3436,5531,6583,1495,4161,4131,2862,2561
99,2333,2334,7131,4526,4015,8156,467,5940,3551,5326,10941,10490,7680,7472,9503
100,10894,8897,698,9911,8676,12210,9529,9882,2393,11878,5339,5151,2699,2635,5383
101,11948,9679,7477,10923,4139,9216,12181,2774,7991,2946,7594,897,6423,10931,6837
102,5395,1719,2875,11834,2493,11437,1990,6455,310,1843,1335,4934,5534,3863,11917
103,2796,399,2944,11580,2608,9360,4838,10084,15,3304,9390,12160,651,1251,319
104,3869,1710,2256,6542,4702,4717,3204,822,12195,10933,3899,4670,7417,6306,6196
105,9610,734,4470,3851,10854,8788,11711,8354,8928,12442,3606,1211,465,11498,12236
106,7063,1900,9011,9596,1626,7507,6840,11408,8169,8856,3888,8111,7564,1647,11244
107,5582,12208,12389,856,11200,673,10059,4995,3469,5779,4876,635,12000,5806,9846
108,12586,12891,6324,3698,12915,4342,8974,4409,4765,12132,12950,10404,3742,8856,3035
109,11749,1900,6122,7507,9791,11785,7129,280,106,447,1626,9643,7945,1635,11629
110,1926,11085,3400,10160,2913,12094,2800,3238,11020,12174,3201,4321,2888,8247,2011
111,911,6449,7811,8686,787,4435,675,3888,3546,3824,11506,4289,11079,5954,10409
112,3146,894,9633,7435,1937,1082,7436,7646,1541,10715,6783,8079,9511,624,4011
113,6216,9696,955,847,10233,10199,4211,12554,6459,2827,5638,8796,7508,4790,1224
114,7611,7959,2079,9416,6757,9217,6346,6207,9192,8798,3970,10405,1982,8337,534
115,6784,1735,6778,11446,5845,6059,12464,1866,5178,7229,1945,7469,7810,11193,6425
116,2048,6402,2875,10557,8191,4877,11494,5417,7571,12388,12662,7257,7513,8183,8504
117,5267,8649,4477,6290,10273,7471,1128,2680,41,3236,4509,4087,7098,6268,9484
118,7645,11181,11431,11870,5190,11315,4237,9633,2591,143,2590,12149,4593,9444,5288
119,8605,6337,8664,10351,11464,5869,5685,7156,10871,11687,1884,7801,985,12019,4732
120,5648,9456,1434,11496,6900,9078,2465,4030,10756,142,10097,3585,373,11079,4449
121,5739,10827,7011,8226,11836,10966,6469,7960,4071,391,6956,4292,7951,10519,9985
122,125,126,12459,12876,7654,11326,2355,3726,6330,9895,2027,803,6648,5780,1354
123,3230,1282,9104,4417,6244,5972,5745,688,3477,8066,6555,8751,11481,11753,6623
124,10994,10916,1628,11262,7209,7861,9887,8318,6686,2611,10304,6047,3471,7434,1183
125,122,126,11326,7654,6549,7064,9895,12876,11703,2389,12459,8187,5615,5374,3726
126,125,122,12459,1647,2601,2389,3127,4016,7063,6398,3471,3269,4017,3713,5793
127,4370,4097,6460,5597,1128,6986,3434,9757,7871,8051,1897,5716,8487,4087,5715
128,10066,3053,8509,5097,7714,13060,2806,3375,12559,7979,166,11517,10412,10809,12
129,1777,10775,5343,5752,10758,150,11429,11529,5759,142,9506,12110,10261,5131,5401
130,4565,11996,4294,9017,12218,5487,1187,6428,633,11233,10751,7326,9056,8796,1539
131,2318,7598,4753,5491,10489,5029,175,5010,12483,10569,5926,2705,12477,5386,7779
